Date,FII Gross Purchase,FII Gross Sales,FII Net Purchase or Sales,DII Gross Purchase,DII Gross Sales,DII Net Purchase or Sales
2020-07-01,155215.80,149722.85,5492.95,100174.07,97739.67,2434.40
2020-06-01,155977.41,142062.92,13914.49,87531.66,75238.47,12293.19
2020-05-01,122483.01,127691.51,-5208.50,75066.03,75183.03,-117.00
2020-04-01,154904.51,220721.21,-65816.70,157856.93,102261.75,55595.18
2020-03-01,114891.25,127575.55,-12684.30,93843.52,76910.49,16933.03
2020-02-01,107812.65,113172.16,-5359.51,91361.34,90287.85,1073.49
2020-01-01,99178.10,98483.98,694.12,65743.09,66483.85,-740.76
2019-12-01,149792.41,136867.48,12924.93,76227.97,84198.26,-7970.29
2019-11-01,116236.18,107640.52,8595.66,81036.58,76278.10,4758.48
2019-10-01,103760.72,110384.77,-6624.05,84873.73,72382.92,12490.81
2019-09-01,108529.84,123358.60,-14828.76,87205.37,66271.78,20933.59
2019-08-01,92246.74,109116.87,-16870.13,92650.09,72255.57,20394.52
2019-07-01,98712.03,99400.53,-688.50,58637.91,54994.60,3643.31
2019-06-01,131468.97,133604.82,-2135.85,85285.17,79968.83,5316.34
2019-05-01,102562.51,89812.96,12749.55,66294.61,70514.07,-4219.46
2019-04-01,143577.58,111206.15,32371.43,74638.29,88568.54,-13930.25
2019-03-01,109909.66,96345.09,13564.57,67192.45,67758.34,-565.89
2019-02-01,101801.24,101673.57,127.67,76616.16,74469.29,2146.87
2019-01-01,82545.46,83648.83,-1103.37,64671.03,64295.48,375.55
2018-12-01,101299.44,96365.33,4934.11,65526.96,64217.49,1309.47
2018-11-01,111037.68,140238.88,-29201.20,100992.39,74958.49,26033.90
2018-10-01,113805.99,123274.67,-9468.68,82989.11,70485.07,12504.04
2018-09-01,101173.63,103402.16,-2228.53,75784.39,72961.67,2822.72
2018-08-01,97483.65,100252.40,-2768.75,74731.75,70885.88,3845.87
2018-07-01,109343.10,119592.27,-10249.17,78930.30,64784.15,14146.15
2018-06-01,120914.92,133274.63,-12359.71,87103.11,72048.63,15054.48
2018-05-01,92062.09,101682.65,-9620.56,70705.51,62041.63,8663.88
2018-04-01,118876.79,110971.94,7904.85,79303.18,72609.27,6693.91
2018-03-01,101881.52,120500.67,-18619.15,82216.56,64403.55,17813.01
2018-02-01,134222.01,124654.01,9568.00,93029.54,92630.81,398.73
2018-01-01,96087.52,102499.09,-6411.57,76814.06,68671.18,8142.88
2017-12-01,132245.68,145760.46,-13514.78,89605.94,80362.73,9243.21
2017-11-01,103827.67,111654.20,-7826.53,74713.94,64623.03,10090.91
